review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000023,ORD-20260306-536505,CUST-10065,REST-SHJ-001,Best Indian food in UAE! Samosa (2 pcs)  Chicken 65  Butter Naan  and Chicken Tikka Masala were incredible. Chicken 65 had the perfect balance of spices. Five stars!,5,2026-03-08T10:30:02.278660
REV-000024,ORD-20260308-545855,CUST-10307,REST-DXB-001,Solid experience. Mango Lassi and Masala Chai were well-prepared. Masala Chai had great flavor. Minor issues with packaging.,4,2026-03-10T18:51:38.278660
REV-000025,ORD-20260311-954696,CUST-10320,REST-SHJ-001,Hands down the best Samosa (2 pcs) I've ever had! Malai Kofta  Chicken Tikka Masala  Samosa (2 pcs)  Aloo Tikki Chaat  and Jeera Rice were all prepared beautifully. Fresh and flavorful!,5,2026-03-13T19:33:47.278660
REV-000026,ORD-20260312-809202,CUST-10263,REST-AUH-001,Decent food but nothing special. Fresh Lime Soda and Gajar Halwa were okay. Gajar Halwa lacked the punch I expected.,3,2026-03-19T18:09:40.278660
REV-000027,ORD-20260319-974831,CUST-10110,REST-DXB-002,Absolutely amazing Paneer Butter Masala  Gajar Halwa  Butter Chicken  Dal Makhani  and Samosa (2 pcs)! The Gajar Halwa was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-03-22T13:44:41.278660
REV-000028,ORD-20260322-765621,CUST-10247,REST-AUH-002,Hands down the best Jeera Rice I've ever had! Vegetable Biryani  Chicken Tikka Masala  Fresh Lime Soda  Naan  and Jeera Rice were all prepared beautifully. Fresh and flavorful!,5,2026-03-29T21:18:30.278660
REV-000029,ORD-20260331-250282,CUST-10256,REST-DXB-002,Good quality food. Tandoori Roti  Butter Chicken  Palak Paneer  and Naan were nicely done. Naan could have been slightly spicier but still good!,4,2026-04-04T12:52:02.278660
REV-000030,ORD-20260401-171597,CUST-10495,REST-DXB-002,Hands down the best Malai Kofta I've ever had! Chicken 65  Chicken Tikka Masala  and Malai Kofta were all prepared beautifully. Fresh and flavorful!,5,2026-04-04T18:24:24.278660
REV-000031,ORD-20260409-878191,CUST-10232,REST-AUH-002,Wow! Just wow! Fish Curry  Sweet Lassi  Paneer Butter Masala  Gulab Jamun (2 pcs)  and Paneer Tikka were all fantastic. Fish Curry was particularly memorable. Can't wait to order again!,5,2026-04-10T14:40:35.278660
REV-000032,ORD-20260411-376605,CUST-10287,REST-SHJ-001,Outstanding experience! The Aloo Tikki Chaat exceeded all expectations. Aloo Tikki Chaat was the star of the meal. Will definitely order again!,5,2026-04-14T17:52:33.278660
REV-000034,ORD-20260414-516674,CUST-10209,REST-DXB-002,Hands down the best Rasmalai (2 pcs) I've ever had! Rasmalai (2 pcs)  Naan  and Malai Kofta were all prepared beautifully. Fresh and flavorful!,5,2026-04-15T13:52:10.278660
REV-000033,ORD-20260413-537636,CUST-10466,REST-SHJ-001,Solid experience. Gajar Halwa  Aloo Tikki Chaat  Paneer Tikka  Chicken Seekh Kebab  and Fresh Lime Soda were well-prepared. Aloo Tikki Chaat had great flavor. Minor issues with packaging.,4,2026-04-18T15:31:36.278660
REV-000035,ORD-20260419-598114,CUST-10115,REST-AUH-001,Absolutely amazing Lamb Rogan Josh and Butter Naan! The Butter Naan was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-04-20T21:21:19.278660
REV-000036,ORD-20260423-927846,CUST-10336,REST-SHJ-001,Really good Naan  Mango Lassi  Samosa (2 pcs)  Aloo Tikki Chaat  and Paneer Butter Masala! The Aloo Tikki Chaat was delicious. Slight delay in delivery but food quality made up for it.,4,2026-04-25T15:07:05.278660
REV-000038,ORD-20260425-493684,CUST-10375,REST-AUH-002,Incredible meal! Samosa (2 pcs)  Chicken Tikka Masala  Jeera Rice  Chole Bhature  and Kulfi arrived hot and fresh. The Jeera Rice was absolutely divine. Highly satisfied!,5,2026-04-29T11:16:54.278660
REV-000039,ORD-20260426-699605,CUST-10461,REST-SHJ-001,Best Indian food in UAE! Gajar Halwa were incredible. Gajar Halwa had the perfect balance of spices. Five stars!,5,2026-04-30T22:40:42.278660
REV-000037,ORD-20260424-524366,CUST-10108,REST-AUH-001,Exceptional quality! Ordered Chole Bhature  Gajar Halwa  Paneer Butter Masala  and Butter Naan and everything was delicious. The Chole Bhature melted in my mouth. Perfect!,5,2026-05-01T10:06:17.278660
REV-000041,ORD-20260503-790359,CUST-10219,REST-DXB-002,Incredible meal! Gulab Jamun (2 pcs)  Butter Naan  and Chicken Seekh Kebab arrived hot and fresh. The Butter Naan was absolutely divine. Highly satisfied!,5,2026-05-04T21:16:55.278660
REV-000040,ORD-20260501-874967,CUST-10154,REST-DXB-002,Pleasant meal! Gulab Jamun (2 pcs)  Rasmalai (2 pcs)  and Naan arrived warm. Rasmalai (2 pcs) was tasty though not exceptional. Would order again.,4,2026-05-07T17:56:11.278660
REV-000042,ORD-20260507-405596,CUST-10157,REST-AUH-002,Perfect in every way! Paneer Butter Masala and Fresh Lime Soda were all excellent. Fresh Lime Soda stood out with its rich  authentic taste.,5,2026-05-14T13:25:46.278660
REV-000044,ORD-20260512-349531,CUST-10317,REST-DXB-001,Hands down the best Masala Chai I've ever had! Masala Chai  Gulab Jamun (2 pcs)  Malai Kofta  Samosa (2 pcs)  and Fish Curry were all prepared beautifully. Fresh and flavorful!,5,2026-05-15T12:57:21.278660
REV-000046,ORD-20260514-130398,CUST-10044,REST-SHJ-001,Pleasant meal! Fresh Lime Soda arrived warm. Fresh Lime Soda was tasty though not exceptional. Would order again.,4,2026-05-17T19:34:53.278660
REV-000047,ORD-20260514-617442,CUST-10118,REST-DXB-002,Wow! Just wow! Garlic Naan were all fantastic. Garlic Naan was particularly memorable. Can't wait to order again!,5,2026-05-17T20:07:07.278660
REV-000043,ORD-20260512-203976,CUST-10236,REST-SHJ-001,Absolutely horrible! Paneer Tikka arrived ice cold after 2 hour delay. Paneer Tikka was spoiled. Disgusting!,1,2026-05-19T10:40:42.278660
REV-000045,ORD-20260514-395826,CUST-10454,REST-SHJ-001,Enjoyed the Paneer Butter Masala! Paneer Butter Masala was very good. Portion sizes were generous. Recommend!,4,2026-05-20T12:24:55.278660
REV-000048,ORD-20260516-899226,CUST-10274,REST-DXB-002,Poor experience. Palak Paneer  Masala Chai  Chicken 65  Tandoori Roti  and Paneer Tikka were disappointing. Palak Paneer was burnt on the edges. Very unhappy.,2,2026-05-23T21:35:03.278660
REV-000049,ORD-20260519-560006,CUST-10092,REST-AUH-002,Wow! Just wow! Chole Bhature  Fresh Lime Soda  Kulfi  Malai Kofta  and Butter Naan were all fantastic. Butter Naan was particularly memorable. Can't wait to order again!,5,2026-05-23T21:53:21.278660
REV-000051,ORD-20260523-827574,CUST-10264,REST-SHJ-001,Very satisfied! Lamb Rogan Josh  Samosa (2 pcs)  Malai Kofta  Butter Chicken  and Garlic Naan were fresh and flavorful. Lamb Rogan Josh was the standout dish.,4,2026-05-24T22:06:07.278660
REV-000052,ORD-20260524-511234,CUST-10395,REST-DXB-002,Decent food but nothing special. Naan were okay. Naan lacked the punch I expected.,3,2026-05-25T17:56:36.278660
REV-000050,ORD-20260523-668122,CUST-10168,REST-DXB-002,Incredible meal! Vegetable Biryani  Lamb Rogan Josh  Jeera Rice  Aloo Tikki Chaat  and Tandoori Roti arrived hot and fresh. The Jeera Rice was absolutely divine. Highly satisfied!,5,2026-05-26T20:22:36.278660
REV-000053,ORD-20260525-528234,CUST-10192,REST-SHJ-001,Unsatisfactory. Aloo Tikki Chaat were not fresh. Aloo Tikki Chaat tasted reheated. Won't order again.,2,2026-05-29T13:17:08.278660
REV-000054,ORD-20260527-124801,CUST-10082,REST-DXB-002,Worst food ever! Fish Curry and Garlic Naan were all wrong. Garlic Naan made me sick. Never ordering again!,1,2026-05-30T19:04:42.278660
REV-000055,ORD-20260531-549663,CUST-10107,REST-DXB-002,Hands down the best Rasmalai (2 pcs) I've ever had! Fresh Lime Soda  Rasmalai (2 pcs)  Jeera Rice  Masala Chai  and Chicken 65 were all prepared beautifully. Fresh and flavorful!,5,2026-06-01T16:41:19.278660
REV-000056,ORD-20260601-468572,CUST-10226,REST-DXB-002,Wow! Just wow! Sweet Lassi were all fantastic. Sweet Lassi was particularly memorable. Can't wait to order again!,5,2026-06-02T12:56:07.278660
REV-000058,ORD-20260606-535594,CUST-10026,REST-DXB-001,Decent food but nothing special. Dal Makhani  Fish Curry  Sweet Lassi  and Kulfi were okay. Sweet Lassi lacked the punch I expected.,3,2026-06-07T18:19:37.278660
REV-000057,ORD-20260602-517472,CUST-10459,REST-DXB-001,Solid experience. Rasmalai (2 pcs)  Naan  Fresh Lime Soda  Chole Bhature  and Chicken Biryani were well-prepared. Naan had great flavor. Minor issues with packaging.,4,2026-06-08T13:29:22.278660
REV-000059,ORD-20260609-104252,CUST-10059,REST-AUH-002,Perfect in every way! Sweet Lassi and Paneer Butter Masala were all excellent. Paneer Butter Masala stood out with its rich  authentic taste.,5,2026-06-12T15:25:25.278660
REV-000060,ORD-20260610-643487,CUST-10141,REST-DXB-001,Outstanding experience! The Garlic Naan and Chicken Seekh Kebab exceeded all expectations. Chicken Seekh Kebab was the star of the meal. Will definitely order again!,5,2026-06-17T14:45:23.278660
REV-000061,ORD-20260612-819077,CUST-10208,REST-DXB-002,Hands down the best Vegetable Biryani I've ever had! Paneer Tikka  Tandoori Roti  Mango Lassi  Vegetable Biryani  and Lamb Rogan Josh were all prepared beautifully. Fresh and flavorful!,5,2026-06-17T21:21:04.278660
REV-000062,ORD-20260614-116210,CUST-10084,REST-AUH-001,It was okay. Chicken Biryani arrived lukewarm. Chicken Biryani tasted fine but could be better.,3,2026-06-18T19:18:46.278660
REV-000064,ORD-20260620-757204,CUST-10368,REST-SHJ-001,Wow! Just wow! Mango Lassi were all fantastic. Mango Lassi was particularly memorable. Can't wait to order again!,5,2026-06-21T21:16:09.278660
REV-000065,ORD-20260621-280781,CUST-10490,REST-AUH-002,Solid experience. Gajar Halwa  Vegetable Biryani  Chicken 65  and Naan were well-prepared. Chicken 65 had great flavor. Minor issues with packaging.,4,2026-06-24T19:34:20.278660
REV-000063,ORD-20260619-296031,CUST-10388,REST-AUH-002,Disaster! Tandoori Roti and Jeera Rice were all stale. Jeera Rice had a weird smell. Completely unacceptable!,1,2026-06-26T11:35:53.278660
REV-000068,ORD-20260624-792358,CUST-10369,REST-DXB-001,Outstanding experience! The Chicken Seekh Kebab  Paneer Butter Masala  Jeera Rice  and Garlic Naan exceeded all expectations. Jeera Rice was the star of the meal. Will definitely order again!,5,2026-06-26T16:50:08.278660
REV-000066,ORD-20260623-278921,CUST-10320,REST-SHJ-001,Wow! Just wow! Dal Makhani and Chicken Seekh Kebab were all fantastic. Dal Makhani was particularly memorable. Can't wait to order again!,5,2026-06-26T17:34:01.278660
REV-000067,ORD-20260623-648463,CUST-10480,REST-SHJ-001,Wow! Just wow! Tandoori Roti  Chole Bhature  Vegetable Biryani  and Sweet Lassi were all fantastic. Vegetable Biryani was particularly memorable. Can't wait to order again!,5,2026-06-29T20:29:41.278660
