restaurant_id,item_id,name,category,price,ingredients,is_vegetarian,spice_level
REST-AUH-002,ITEM-104,Aloo Tikki Chaat,Starter,21.51,"Potato, Chickpeas, Yogurt, Tamarind",True,Mild
REST-AUH-002,ITEM-105,Chicken Seekh Kebab,Starter,43.17,"Minced Chicken, Spices, Onion",False,Medium
REST-AUH-002,ITEM-201,Paneer Butter Masala,Main Course,43.24,"Paneer, Tomato, Cream, Butter",True,Mild
REST-AUH-002,ITEM-202,Dal Makhani,Main Course,37.76,"Black Lentils, Kidney Beans, Cream",True,Mild
REST-AUH-002,ITEM-203,Palak Paneer,Main Course,41.96,"Spinach, Paneer, Spices",True,Medium
REST-AUH-002,ITEM-204,Malai Kofta,Main Course,44.47,"Cottage Cheese, Potato, Cashew Gravy",True,Mild
REST-AUH-002,ITEM-205,Chole Bhature,Main Course,40.03,"Chickpeas, Fried Bread, Spices",True,Medium
REST-AUH-002,ITEM-301,Butter Chicken,Main Course,51.87,"Chicken, Tomato, Butter, Cream",False,Mild
REST-AUH-002,ITEM-302,Chicken Tikka Masala,Main Course,51.78,"Chicken Tikka, Tomato Gravy, Cream",False,Medium
REST-AUH-002,ITEM-303,Lamb Rogan Josh,Main Course,65.55,"Lamb, Yogurt, Kashmiri Spices",False,Medium
REST-AUH-002,ITEM-304,Fish Curry,Main Course,53.27,"Fish, Coconut, Curry Leaves",False,Hot
REST-AUH-002,ITEM-305,Chicken Biryani,Main Course,46.32,"Basmati Rice, Chicken, Saffron, Spices",False,Medium
REST-AUH-002,ITEM-401,Naan,Bread,8.04,"Flour, Yogurt, Yeast",True,None
REST-AUH-002,ITEM-402,Garlic Naan,Bread,9.94,"Flour, Garlic, Butter",True,None
REST-AUH-002,ITEM-403,Butter Naan,Bread,9.42,"Flour, Butter, Milk",True,None
REST-AUH-002,ITEM-404,Tandoori Roti,Bread,6.03,Whole Wheat Flour,True,None
REST-AUH-002,ITEM-405,Jeera Rice,Rice,18.44,"Basmati Rice, Cumin Seeds",True,None
REST-AUH-002,ITEM-406,Vegetable Biryani,Rice,40.6,"Basmati Rice, Mixed Vegetables, Saffron",True,Medium
REST-AUH-002,ITEM-501,Gulab Jamun (2 pcs),Dessert,15.16,"Milk Solids, Sugar Syrup, Cardamom",True,None
REST-AUH-002,ITEM-502,Rasmalai (2 pcs),Dessert,17.11,"Cottage Cheese, Milk, Saffron",True,None
REST-AUH-002,ITEM-503,Kulfi,Dessert,19.51,"Milk, Cardamom, Pistachios",True,None
REST-AUH-002,ITEM-504,Gajar Halwa,Dessert,21.01,"Carrot, Milk, Ghee, Sugar",True,None
REST-AUH-002,ITEM-601,Masala Chai,Beverage,11.59,"Tea, Milk, Spices",True,None
REST-AUH-002,ITEM-602,Mango Lassi,Beverage,18.67,"Mango, Yogurt, Sugar",True,None
REST-AUH-002,ITEM-603,Sweet Lassi,Beverage,15.0,"Yogurt, Sugar, Cardamom",True,None
REST-AUH-002,ITEM-604,Fresh Lime Soda,Beverage,11.98,"Lime, Soda, Salt/Sugar",True,None
REST-DXB-001,ITEM-101,Samosa (2 pcs),Starter,18.86,"Potato, Peas, Spices, Pastry",True,Medium
REST-DXB-001,ITEM-102,Paneer Tikka,Starter,33.57,"Paneer, Yogurt, Spices, Bell Pepper",True,Medium
REST-DXB-001,ITEM-103,Chicken 65,Starter,38.34,"Chicken, Curry Leaves, Spices",False,Hot
REST-DXB-001,ITEM-104,Aloo Tikki Chaat,Starter,21.91,"Potato, Chickpeas, Yogurt, Tamarind",True,Mild
REST-DXB-001,ITEM-105,Chicken Seekh Kebab,Starter,43.21,"Minced Chicken, Spices, Onion",False,Medium
REST-DXB-001,ITEM-201,Paneer Butter Masala,Main Course,44.85,"Paneer, Tomato, Cream, Butter",True,Mild
REST-DXB-001,ITEM-202,Dal Makhani,Main Course,36.71,"Black Lentils, Kidney Beans, Cream",True,Mild
REST-DXB-001,ITEM-203,Palak Paneer,Main Course,42.07,"Spinach, Paneer, Spices",True,Medium
REST-DXB-001,ITEM-204,Malai Kofta,Main Course,46.19,"Cottage Cheese, Potato, Cashew Gravy",True,Mild
REST-DXB-001,ITEM-205,Chole Bhature,Main Course,41.59,"Chickpeas, Fried Bread, Spices",True,Medium
REST-DXB-001,ITEM-301,Butter Chicken,Main Course,50.73,"Chicken, Tomato, Butter, Cream",False,Mild
REST-DXB-001,ITEM-302,Chicken Tikka Masala,Main Course,51.72,"Chicken Tikka, Tomato Gravy, Cream",False,Medium
REST-DXB-001,ITEM-303,Lamb Rogan Josh,Main Course,64.58,"Lamb, Yogurt, Kashmiri Spices",False,Medium
REST-DXB-001,ITEM-304,Fish Curry,Main Course,56.31,"Fish, Coconut, Curry Leaves",False,Hot
REST-DXB-001,ITEM-305,Chicken Biryani,Main Course,47.91,"Basmati Rice, Chicken, Saffron, Spices",False,Medium
REST-DXB-001,ITEM-401,Naan,Bread,7.86,"Flour, Yogurt, Yeast",True,None
REST-DXB-001,ITEM-402,Garlic Naan,Bread,10.17,"Flour, Garlic, Butter",True,None
REST-DXB-001,ITEM-403,Butter Naan,Bread,9.06,"Flour, Butter, Milk",True,None
REST-DXB-001,ITEM-404,Tandoori Roti,Bread,5.97,Whole Wheat Flour,True,None
REST-DXB-001,ITEM-405,Jeera Rice,Rice,18.09,"Basmati Rice, Cumin Seeds",True,None
REST-DXB-001,ITEM-406,Vegetable Biryani,Rice,41.96,"Basmati Rice, Mixed Vegetables, Saffron",True,Medium
REST-DXB-001,ITEM-501,Gulab Jamun (2 pcs),Dessert,14.87,"Milk Solids, Sugar Syrup, Cardamom",True,None
REST-DXB-001,ITEM-502,Rasmalai (2 pcs),Dessert,18.43,"Cottage Cheese, Milk, Saffron",True,None
REST-DXB-001,ITEM-503,Kulfi,Dessert,19.65,"Milk, Cardamom, Pistachios",True,None
REST-DXB-001,ITEM-504,Gajar Halwa,Dessert,21.45,"Carrot, Milk, Ghee, Sugar",True,None
REST-DXB-001,ITEM-601,Masala Chai,Beverage,11.44,"Tea, Milk, Spices",True,None
REST-DXB-001,ITEM-602,Mango Lassi,Beverage,17.69,"Mango, Yogurt, Sugar",True,None
REST-DXB-001,ITEM-603,Sweet Lassi,Beverage,15.45,"Yogurt, Sugar, Cardamom",True,None
REST-DXB-001,ITEM-604,Fresh Lime Soda,Beverage,11.48,"Lime, Soda, Salt/Sugar",True,None
REST-DXB-002,ITEM-101,Samosa (2 pcs),Starter,17.9,"Potato, Peas, Spices, Pastry",True,Medium
REST-DXB-002,ITEM-102,Paneer Tikka,Starter,34.01,"Paneer, Yogurt, Spices, Bell Pepper",True,Medium
REST-DXB-002,ITEM-103,Chicken 65,Starter,37.56,"Chicken, Curry Leaves, Spices",False,Hot
REST-DXB-002,ITEM-104,Aloo Tikki Chaat,Starter,21.02,"Potato, Chickpeas, Yogurt, Tamarind",True,Mild
REST-DXB-002,ITEM-105,Chicken Seekh Kebab,Starter,39.97,"Minced Chicken, Spices, Onion",False,Medium
REST-DXB-002,ITEM-201,Paneer Butter Masala,Main Course,45.3,"Paneer, Tomato, Cream, Butter",True,Mild
REST-DXB-002,ITEM-202,Dal Makhani,Main Course,39.12,"Black Lentils, Kidney Beans, Cream",True,Mild
REST-DXB-002,ITEM-203,Palak Paneer,Main Course,43.43,"Spinach, Paneer, Spices",True,Medium
REST-DXB-002,ITEM-204,Malai Kofta,Main Course,44.75,"Cottage Cheese, Potato, Cashew Gravy",True,Mild
REST-DXB-002,ITEM-205,Chole Bhature,Main Course,38.61,"Chickpeas, Fried Bread, Spices",True,Medium
REST-DXB-002,ITEM-301,Butter Chicken,Main Course,51.66,"Chicken, Tomato, Butter, Cream",False,Mild
REST-DXB-002,ITEM-302,Chicken Tikka Masala,Main Course,48.88,"Chicken Tikka, Tomato Gravy, Cream",False,Medium
REST-DXB-002,ITEM-303,Lamb Rogan Josh,Main Course,61.86,"Lamb, Yogurt, Kashmiri Spices",False,Medium
REST-DXB-002,ITEM-304,Fish Curry,Main Course,54.45,"Fish, Coconut, Curry Leaves",False,Hot
REST-DXB-002,ITEM-305,Chicken Biryani,Main Course,47.48,"Basmati Rice, Chicken, Saffron, Spices",False,Medium
REST-DXB-002,ITEM-401,Naan,Bread,8.22,"Flour, Yogurt, Yeast",True,None
REST-DXB-002,ITEM-402,Garlic Naan,Bread,9.74,"Flour, Garlic, Butter",True,None
REST-DXB-002,ITEM-403,Butter Naan,Bread,8.82,"Flour, Butter, Milk",True,None
REST-DXB-002,ITEM-404,Tandoori Roti,Bread,6.16,Whole Wheat Flour,True,None
REST-DXB-002,ITEM-405,Jeera Rice,Rice,17.21,"Basmati Rice, Cumin Seeds",True,None
REST-DXB-002,ITEM-406,Vegetable Biryani,Rice,42.87,"Basmati Rice, Mixed Vegetables, Saffron",True,Medium
REST-DXB-002,ITEM-501,Gulab Jamun (2 pcs),Dessert,15.49,"Milk Solids, Sugar Syrup, Cardamom",True,None
REST-DXB-002,ITEM-502,Rasmalai (2 pcs),Dessert,18.11,"Cottage Cheese, Milk, Saffron",True,None
REST-DXB-002,ITEM-503,Kulfi,Dessert,20.8,"Milk, Cardamom, Pistachios",True,None
REST-DXB-002,ITEM-504,Gajar Halwa,Dessert,21.15,"Carrot, Milk, Ghee, Sugar",True,None
REST-DXB-002,ITEM-601,Masala Chai,Beverage,11.98,"Tea, Milk, Spices",True,None
REST-DXB-002,ITEM-602,Mango Lassi,Beverage,17.14,"Mango, Yogurt, Sugar",True,None
REST-DXB-002,ITEM-603,Sweet Lassi,Beverage,14.54,"Yogurt, Sugar, Cardamom",True,None
REST-DXB-002,ITEM-604,Fresh Lime Soda,Beverage,12.42,"Lime, Soda, Salt/Sugar",True,None
REST-SHJ-001,ITEM-101,Samosa (2 pcs),Starter,18.64,"Potato, Peas, Spices, Pastry",True,Medium
REST-SHJ-001,ITEM-102,Paneer Tikka,Starter,34.01,"Paneer, Yogurt, Spices, Bell Pepper",True,Medium
REST-SHJ-001,ITEM-103,Chicken 65,Starter,39.52,"Chicken, Curry Leaves, Spices",False,Hot
REST-SHJ-001,ITEM-104,Aloo Tikki Chaat,Starter,22.53,"Potato, Chickpeas, Yogurt, Tamarind",True,Mild
REST-SHJ-001,ITEM-105,Chicken Seekh Kebab,Starter,42.94,"Minced Chicken, Spices, Onion",False,Medium
REST-SHJ-001,ITEM-201,Paneer Butter Masala,Main Course,43.69,"Paneer, Tomato, Cream, Butter",True,Mild
REST-SHJ-001,ITEM-202,Dal Makhani,Main Course,36.14,"Black Lentils, Kidney Beans, Cream",True,Mild
REST-SHJ-001,ITEM-203,Palak Paneer,Main Course,40.96,"Spinach, Paneer, Spices",True,Medium
REST-SHJ-001,ITEM-204,Malai Kofta,Main Course,43.74,"Cottage Cheese, Potato, Cashew Gravy",True,Mild
REST-SHJ-001,ITEM-205,Chole Bhature,Main Course,38.31,"Chickpeas, Fried Bread, Spices",True,Medium
REST-SHJ-001,ITEM-301,Butter Chicken,Main Course,50.05,"Chicken, Tomato, Butter, Cream",False,Mild
REST-SHJ-001,ITEM-302,Chicken Tikka Masala,Main Course,51.74,"Chicken Tikka, Tomato Gravy, Cream",False,Medium
REST-SHJ-001,ITEM-303,Lamb Rogan Josh,Main Course,63.53,"Lamb, Yogurt, Kashmiri Spices",False,Medium
REST-SHJ-001,ITEM-304,Fish Curry,Main Course,57.53,"Fish, Coconut, Curry Leaves",False,Hot
REST-SHJ-001,ITEM-305,Chicken Biryani,Main Course,49.48,"Basmati Rice, Chicken, Saffron, Spices",False,Medium
REST-SHJ-001,ITEM-401,Naan,Bread,7.92,"Flour, Yogurt, Yeast",True,None
REST-SHJ-001,ITEM-402,Garlic Naan,Bread,9.65,"Flour, Garlic, Butter",True,None
REST-SHJ-001,ITEM-403,Butter Naan,Bread,8.68,"Flour, Butter, Milk",True,None
REST-SHJ-001,ITEM-404,Tandoori Roti,Bread,6.05,Whole Wheat Flour,True,None
REST-SHJ-001,ITEM-405,Jeera Rice,Rice,17.96,"Basmati Rice, Cumin Seeds",True,None
REST-SHJ-001,ITEM-406,Vegetable Biryani,Rice,40.61,"Basmati Rice, Mixed Vegetables, Saffron",True,Medium
REST-SHJ-001,ITEM-501,Gulab Jamun (2 pcs),Dessert,14.89,"Milk Solids, Sugar Syrup, Cardamom",True,None
REST-SHJ-001,ITEM-502,Rasmalai (2 pcs),Dessert,18.58,"Cottage Cheese, Milk, Saffron",True,None
REST-SHJ-001,ITEM-503,Kulfi,Dessert,20.02,"Milk, Cardamom, Pistachios",True,None
REST-SHJ-001,ITEM-504,Gajar Halwa,Dessert,21.96,"Carrot, Milk, Ghee, Sugar",True,None
REST-SHJ-001,ITEM-601,Masala Chai,Beverage,12.6,"Tea, Milk, Spices",True,None
REST-SHJ-001,ITEM-602,Mango Lassi,Beverage,17.63,"Mango, Yogurt, Sugar",True,None
REST-SHJ-001,ITEM-603,Sweet Lassi,Beverage,15.19,"Yogurt, Sugar, Cardamom",True,None
REST-SHJ-001,ITEM-604,Fresh Lime Soda,Beverage,11.82,"Lime, Soda, Salt/Sugar",True,None
